Fish Name,Latin Name,Available Region,Feeding habitat
 skipjack tuna," Katsuwonus pelamis
","Off West and East coasts of
India Andaman and Lakshadweep
Islands",Active predator
 oriental Bonito,Sarda orientalis, South West coast of India ,Active predator
 snapper,"Lutjanus spp
"," West and Easst coasts of
India Malabar coast of Kerala ",Unknown
blood red snapper ,Lutjanus sanguineus,"South-East coast of India
Tamil Nadu cost ","Feeds on a variety of smaller fishes, crustaceans, and mollusk"
black spot snapper , Lutjanus fulviflamus," West and East coasts of
India Coast of Kerala",Feeds on both diel and ontogenetic feeding habits.
 reef cod,Epinephelus diacanthus,"West and East coasts of
India Off Kerala coast","Feeds on a variety of prey, including several species of bony fishes, American lobsters, and other invertebrates."
 areolated cod, Epinephelus areolatus, South East coast of India Tamil nadu coast ,"Feeds on a variety of prey, including several species of bony fishes, American lobsters, and other invertebrates."
giant sea perch, Lates calcarifer," Coastal waters, estuaries and lagoons,
entering brackish water ",Feeds on microcrustaceans such as copepods and amphipods.
 croaker, Johnius dussumier,"East and West coasts of India Maharashtra
coast and Gulf of Munnar ","Feeds on crustaceans, worms, organic debris, mollusks and small fish."
blotched croaker, Nibea maculata," West and East coasts of India Tamil Nadu
coast ","Feeds on crustaceans, worms, organic debris, mollusks and small fish."
tiger toothed croaker,Otolithes ruber," East and West coasts of India Kerala and
Maharastra coast ","Feeds on  crustaceans, worms, organic debris, mollusks and small fish."
 ghol, Protonibea diacanthus," North-West coast to India Gujarat and
Maharashtra coasts ",Unknown
scad,Alepes mate," West and East coasts of India Coasts of
Kerala, Tamil Nadu and Andamans ",Feeds on crustaceans.
 horse mackerel,Megalaspis cordyla," South-East coast and West coast of india
Area of abundance Kerala and Tamil Nadu coasts ",Feeds on Crustacea and Pisces groups.
 leatherskin, Scomberoides lysan," East and West coasts of India Andhra,
Tamil nadu and Kerala coasts ",Unknown
 naked breast trevally, Decapterus ruselli," West and East coasts of India Along the
coasts of Maharashtra, Kerala and Tamil Nadu ","Feeds on crustaceans, cephalopods and occasionally molluscs."
malabar trevally, Carangoides malabaricus," East and West coasts of India Tamil nadu
and Kerala coasts ","Feeds on crustaceans, cephalopods and occasionally molluscs."
 black banded trevally, Seriolina nigrofasciata," West and East Coasts of India Kerala and
Tamil nadu coasts","Feeds on crustaceans, cephalopods and occasionally molluscs. "
ribbon fish, Lepturacanthus savala," East and West coasts of India Pradesh,
Tamil Nadu, Kerala, maharashtra and Gujarat coasts ","Feeds on fishes, crustaceans and cephalopods groups."
large headed ribbon fish, Trichiurus lepturus," West and East coasts of India Area of
abundance Along the coasts of Maharashtra, Kerala,
Tamil Nadu and Andhra Pradesh ","Feeds on fishes, crustaceans and cephalopods groups."
 cat fish, Arius maculatus," West coasts of India Karnataka, Goa and
Maharashtra coasts ",Feeds on  grain by-products that are rich in starch. 
giant marine cat fish,Arius thalassinus," East to West coasts of India Maharashtra
coast ",Feeds on  grain by-products that are rich in starch. 
indian oil sardine, Sardonella longiceps," South-West coast of India Kerala and
Karnataka coasts ",Feeds on feed exclusively on plankton and  diatoms.
deep bodied sardinella,Sardinella brachysoma," South-West coast of India Kerala and
Karnataka coasts ",Feeds on phytoplankton 
 hilsa Ilisha, Tenulosa ilisha," North-West and North-East coasts of India
Maharashtra, Gujarat and Orissa coasts ",Feeds on Plankton.
commersons's anchovy,Anchoviella commersion," East and West coasts of India Maharashtra,
Karnataka and Kerala coasts ",Unknown
 indian halibut, Psettodes erumei,"West and East coasts of India Areas of
abandus Maharashtra coast ","Feeds on Nemipterus japonicus, Upeneus sulphureus Muraenesox cinereus, Saurida tumbil, Nematolosa sp, Leiognathus sp."
 sole, Cynoglossus macrolepidotus,"West and East costs of India Along Kerala
coast",The diet composition of Egyptian sole is indicative of a generalist feeding strategy.
 barracuda, Sphyraena jello," West and East coast of India Kerala and
Tamil Nadu coasts",Feeds on Crustaceans and molluscs.
indian goat fish, Parupeneus indicus," East coast of India Tamil Nadu and Andhra
Pradesh coasts",Feeds on crustaceans and sand.
 dark band goat fish, Upeneus tragula," East coasts of India Tamil Nadu and
Andhra Pradesh ",Feeds on crustaceans and sand.
indian Salmon, Eleutheronema tetradactylum," North-East and North-west coasts of India
West Bengal, Orissa and Gujarat coasts 
",Unknown
 bombay Duck, Harpadon nehereus," North-West coast of India Maharashtra and
Gujarat coast ",Feeds on zooplankton and fish larva.
 long spine sea-bream, Argyrops spinifer," West and East coasts of India Andhra
Pradesh, tamil Nadu and Gujarat coasts ","Feeds on crustaceans, molluscs, polychaetes, teleosts and echinoderms."
 japanese Thread-fin bream, Nemipterus japonicus," East and West coasts of India Andhra
Pradesh, Tamil Nadu and Gujarat coasts ",Feeds on crustaceans.
spade fish, Ephippus orbis," East and West coast of India Andhra
Pradesh, Tamil Nadu and Gujarat coasts","Feeds on small, benthic invertebrates including crustaceans, mollusks, annelids, and cnidarians."
 pearl spot, Etroplus suratensis," An estuarine form found along the
South-west and Orissa coasts Lakes of Kerala and
Karnataka ",Seasonal feeding.
grey mullet, Mugil cephalus," East and West coasts of India South
west coast, North east coast ",Feeds on fresh and decaying algae.
blue spot grey mullet, Valamugil seheli," East and west coasts of India SouthWest coasts, Vembanad lake and North east coasts ",Feeds on fresh and decaying algae.
milk fish,Chanos chanos,"Coastal waters including lagoons Gulf of
Mannar ","Feeds on diatoms, zooplankton (including fish eggs and larvae), algae, detritus, and small amounts of sand particles."
dusky finned bulleye, Priacanthus hamrur,": East coasts of India Andhra Pradesh,
tamil Nadu and Kerala coasts 
",Unknown
 silver sillago, Silago sharma," East coasts of India Andhra Pradesh,
Tamil Nadu and Kerala coasts ",Feeds on planktonic and benthic organisms.
 water catfish, Silurus wynaadensis," Western ghats Wynaad, Bhavani river
system ",Feeds on  grain by-products that are rich in starch. 
silver carp, Hypothalmichthys molitrix, Fresh water fishery of India,Feeds on phytoplankton.
parrot fish, Scarus russelii,"Western ghats Wynaad, Bhavani river
system ",Feeds on algae.
hammer head shark,Sphyrna zygaena,South-East coast of India Port Novo (Tamil Nadu coast),Feeds on ray.
guitar fish,Rhincobatus djeddensis,South-East coast of India Tamil Nadu coast,Feeds on amphipoda and mysidacea.
whip tail sting ray,Himantura bleeker,East coast of India Gulf of Mannar ,"Feeds on mollusks, crustaceans, and occasionally on small fish."
indian dog shark,Scoliodon laticaudus,West and South-East coasts of India Gujarat and Maharashtra coasts ,Active predator
white cheeked shark,Carcharhius dussumieri,West and Souh-East coasts of India Gujarat and Maharashtra coasts,"Feeds on  sea turtles, seals, sea lions, porpoises, dolphins, and small whales."
black tip shark , Eulamia spallanzani,"West and East coasts of India Coasts of Kerala , Maharashtra and gujarat ","Feeds on small schooling fishes such as herring, sardines, menhaden, mullet, and anchovies, but also eat other bony fishes including catfishes, groupers, jacks, snook, porgies, grunts, croakers, flatfishes, triggerfish, and porcupine fish."
javanese cow ray,Rhinoptera Javanica, South-East coast of India Cape comorin (Tamil Nadu coast),"Feeds on deep burrowing mollusks, juveniles on shallow- or non-burrowing bivalves."
silver pomfret,Pampus argenteus,"North, Middle-West and North-East coasts of India Maharashtra, Gujarat and Orissa coasts","Feeds on Copepods, other non‐copepod crustaceans, and molluscs."
chinese pomfret,Pampus chinensis, East and West coasts of India Maharashtra and Gujarat coasts ,"Feeds on Copepods, other non‐copepod crustaceans, and molluscs."
black pomfret,Parastromateus niger,West and East coasts of India Maharashtra and Gujarat coasts ,"Feeds on Copepods, other non‐copepod crustaceans, and molluscs."
indian mackerel,Rastrelliger Kanagurta,"South, Middle-West and South-East coasts of India Karnataka and Kerala coasts","Feeds on plankton organisms,copepods, cladocerans, larval and adult decapods, peridinians and diatoms."
seer fish (spanish mackerel),Scomberomorus commerson,West and East coasts of India Coasts of Kerala and Karnataka ,"Feeds on plankton organisms,copepods, cladocerans, larval and adult decapods, peridinians and diatoms."
seer fish (streaked spanish mackerel),Scomberomorus lineolatus,West and East coasts of India Areas of abundacne Along the coasts of Maharashtra and Gujarat,"Feeds on plankton organisms,copepods, cladocerans, larval and adult decapods, peridinians and diatoms."
seer Fish (spotted spanish mackerel),Scomberomorus guttus,"West and East coasts of India Along the coasts of Gujarat Maharashtra, Kerala and Andamans","Feeds on plankton organisms,copepods, cladocerans, larval and adult decapods, peridinians and diatoms."
black king fish ,Rachycentron canadus, East and West coasts of India Tamil Nadu and Kerala coasts ,Unknown
little tunny,nam Euthynnus affinis," South-West coasts of iNDIA Coasts of Kerala, Lakshadweep and Andamans ",Feeds on small fish and the larval forms of crustaceans.
yellow fin tuna ,Thunnus albacares,"East and West coasts of India Lakshadweep, Andamans, Gulf of Mannar and off Ratnagiri coas","Feeds on pelagic crustaceans, squid and other fishes."
big eye tuna ,Thunnus obesus,"South-West and East coasts of India and Lakshadweep Lakshadweep islands, Gulf of Mannar, Vizhinjam and Ratnagiri coasts ",Feeds on Electrona risso and Scopelarchus analis.